
0.11,0.04,0.18,0.25,0.43,0.75,1.28,1.9,2.47,2.98,3.32,3.48
0.12,0.13,0.15,0.2,0.32,0.67,1.37,2.04,2.84,3.3,3.57,3.79
0.09,0.09,0.09,0.1,0.21,0.67,1.37,2.04,2.84,3.3,3.57,3.79
0.01,0.04,0.06,0.09,0.15,0.34,0.92,1.92,2,3.39,4.72,4.59
0.05,0.04,0.07,0.09,0.22,0.45,1.1,2.15,3.42,4.95,5.41,4.74
0.06,0.04,0.06,0.06,0.11,0.24,0.99,2.08,3.11,3.59,4.74,4.53
0.07,0.07,0.06,0.09,0.15,0.23,0.89,1.25,2.81,3.57,4.08,4.12
0.09,0.1,0.13,0.19,0.34,0.52,1.14,1.97,2.59,3.22,3.62,3.76
0.12,0.13,0.2,0.29,0.45,0.76,1.29,2.03,2.36,2.95,3.44,3.58
0.13,0.14,0.22,0.32,0.49,0.81,1.29,2.02,2.38,2.35,3.27,3.48
